variable_name,type,category,sensitive,source,contexts
GROUPS_0_RULES_0_EXPR,string,services,no,yaml,"rpa4all-snapshot-alerts;selfhealing_rules;alert_rules;ltfs-selfheal-rules"
GROUPS_0_RULES_0_FOR,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_0_LABELS_SEVERITY,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_0_LABELS_COMPONENT,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_0_ANNOTATIONS_SUMMARY,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_0_ANNOTATIONS_DESCRIPTION,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_0_ANNOTATIONS_DASHBOARD,url,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_0_ANNOTATIONS_RUNBOOK,url,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_1_EXPR,string,services,no,yaml,"rpa4all-snapshot-alerts;selfhealing_rules;alert_rules;ltfs-selfheal-rules"
GROUPS_0_RULES_1_FOR,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_1_LABELS_SEVERITY,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_1_LABELS_COMPONENT,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_1_ANNOTATIONS_SUMMARY,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_1_ANNOTATIONS_DESCRIPTION,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_1_ANNOTATIONS_ACTION,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_1_ANNOTATIONS_DASHBOARD,url,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_2_EXPR,string,services,no,yaml,"rpa4all-snapshot-alerts;selfhealing_rules;alert_rules;ltfs-selfheal-rules"
GROUPS_0_RULES_2_FOR,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_2_LABELS_SEVERITY,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_2_LABELS_COMPONENT,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_2_ANNOTATIONS_SUMMARY,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_2_ANNOTATIONS_DESCRIPTION,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_RULES_2_ANNOTATIONS_DASHBOARD,url,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_3_EXPR,string,services,no,yaml,"rpa4all-snapshot-alerts;selfhealing_rules;alert_rules;ltfs-selfheal-rules"
GROUPS_0_RULES_3_FOR,string,services,no,yaml,"rpa4all-snapshot-alerts;alert_rules;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_3_LABELS_SEVERITY,string,services,no,yaml,"rpa4all-snapshot-alerts;alert_rules;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_3_LABELS_COMPONENT,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_3_ANNOTATIONS_SUMMARY,string,services,no,yaml,"rpa4all-snapshot-alerts;alert_rules;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_3_ANNOTATIONS_DESCRIPTION,json,services,no,yaml,"rpa4all-snapshot-alerts;alert_rules;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_3_ANNOTATIONS_DASHBOARD,url,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_4_EXPR,string,services,no,yaml,"rpa4all-snapshot-alerts;selfhealing_rules;ltfs-selfheal-rules"
GROUPS_0_RULES_4_FOR,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_4_LABELS_SEVERITY,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_4_LABELS_COMPONENT,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_4_ANNOTATIONS_SUMMARY,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_4_ANNOTATIONS_DESCRIPTION,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_4_ANNOTATIONS_DASHBOARD,url,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_5_EXPR,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules"
GROUPS_0_RULES_5_FOR,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_5_LABELS_SEVERITY,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_5_LABELS_COMPONENT,string,services,no,yaml,"rpa4all-snapshot-alerts"
GROUPS_0_RULES_5_ANNOTATIONS_SUMMARY,string,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_5_ANNOTATIONS_DESCRIPTION,json,services,no,yaml,"rpa4all-snapshot-alerts;ltfs-selfheal-rules;rules"
GROUPS_0_RULES_5_ANNOTATIONS_DASHBOARD,url,services,no,yaml,"rpa4all-snapshot-alerts"
GLOBAL_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus-config;prometheus"
GLOBAL_EVALUATION_INTERVAL,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_0_JOB_NAME,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_1_JOB_NAME,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_1_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_2_JOB_NAME,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_2_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_2_SCRAPE_TIMEOUT,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_3_JOB_NAME,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_3_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_3_SCRAPE_TIMEOUT,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_4_JOB_NAME,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_4_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_4_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus-config;prometheus"
SCRAPE_CONFIGS_5_JOB_NAME,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_5_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_5_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_5_STATIC_CONFIGS_0_LABELS_PROFILE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_6_JOB_NAME,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_6_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_6_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_6_STATIC_CONFIGS_0_LABELS_PROFILE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_7_JOB_NAME,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_7_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_7_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_7_STATIC_CONFIGS_0_LABELS_SERVICE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_8_JOB_NAME,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_8_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_8_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_9_JOB_NAME,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_9_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_9_STATIC_CONFIGS_0_LABELS_INSTANCE,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_10_JOB_NAME,string,services,no,yaml,"prometheus"
SCRAPE_CONFIGS_10_SCRAPE_INTERVAL,string,services,no,yaml,"prometheus"
