operation_key,method,path,category,service,source,sensitive,status,owner,team,related_tables,locations
"POST /jobs/cancel-active",POST,/jobs/cancel-active,meetings,specialized_agents/bn_acervo_agent,fastapi,no,active,bn_acervo,content,"","specialized_agents/bn_acervo_agent.py:4599"
"GET /api/tags",GET,/api/tags,llm,docs,openapi,no,active,docs,unassigned,"","docs/openapi.yaml:82;docs/openapi.generated.yaml:72"
"GET /api/v1/models",GET,/api/v1/models,llm,docs,openapi,no,active,docs,unassigned,"btc.llm_calls;btc.llm_log_config","docs/openapi.yaml:33;docs/openapi.generated.yaml:33"
"GET /api/v1/models/{id}",GET,/api/v1/models/{id},llm,docs,openapi,no,active,docs,unassigned,"btc.llm_calls","docs/openapi.yaml:44;docs/openapi.generated.yaml:40"
"GET /copilot/model-info",GET,/copilot/model-info,llm,specialized_agents/copilot_routes,fastapi,no,active,specialized_agents,unassigned,"","specialized_agents/copilot_routes.py:102"
"GET /resources",GET,/resources,llm,specialized_agents/huggingface_inference_agent,fastapi,no,active,huggingface,llm,"","specialized_agents/huggingface_inference_agent.py:227"
"GET /v1/models",GET,/v1/models,llm,specialized_agents/copilot_routes,fastapi,no,active,specialized_agents,unassigned,"","specialized_agents/copilot_routes.py:35"
"POST /api/chat",POST,/api/chat,llm,tools/proxy_tool_interceptor,fastapi,no,active,tools,unassigned,"","tools/proxy_tool_interceptor.py:15;tools/proxy_tool_interceptor.py:428;scripts/misc/github_agent_server.py:466"
"POST /api/generate",POST,/api/generate,llm,docs,openapi,no,active,docs,unassigned,"","docs/openapi.yaml:89;docs/openapi.generated.yaml:79"
"POST /api/v1/rag/index",POST,/api/v1/rag/index,llm,docs,openapi,no,active,docs,unassigned,"btc.training_samples","docs/openapi.yaml:72;docs/openapi.generated.yaml:65"
"POST /chat",POST,/chat,llm,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1195"
"POST /image/generate",POST,/image/generate,llm,specialized_agents/huggingface_inference_agent,fastapi,no,active,huggingface,llm,"","specialized_agents/huggingface_inference_agent.py:237"
"POST /v1/chat/completions",POST,/v1/chat/completions,llm,specialized_agents/copilot_routes,fastapi,no,active,specialized_agents,unassigned,"","specialized_agents/copilot_routes.py:65"
"GET /api/v1/functions",GET,/api/v1/functions,platform,docs,openapi,no,deprecated,docs,unassigned,"","docs/openapi.yaml:58;docs/openapi.generated.yaml:53"
"GET /api/v2/packages",GET,/api/v2/packages,platform,site/code_runner_manager,fastapi,no,active,code_runner,platform,"","site/code_runner_manager.py:415;site/app_patched.py:151;site/code_runner/app.py:166"
